Name;Full name;Date of birth;Age;City of birth;Country of birth;Position;Current club;National_team;Dead;No data;PlayerID;URL
;;;;;;;;;0;1;5492782f-d0a9-5297-b32d-24004c03cd3d;https://en.wikipedia.org/wiki/Lucas_Gonz%C3%A1lez
Ederson;Ederson Santana de Moraes;17.8.1993;29;Osasco;São Paulo;Goalkeeper;Manchester City F.C.;Brazil;0;0;4307d7ac-ef7e-5161-9183-461a98db1c1b;https://en.wikipedia.org/wiki/Ederson_(footballer%2C_born_1993)
Damien Cahalane;;10.8.1992;30;;;;Cork county hurling team;;0;0;70a3eb9f-69c3-5d1a-a221-8197e5909c26;https://en.wikipedia.org/wiki/Damien_Cahalane
Ismail Al-Zaabiإسماعيل الزعابي;Ismail Omar Sultan Al-Zaabi;14.7.2001;21;;Emirates;Midfielder;Al Wahda FC;U20 UAE;0;0;35742ca5-1edc-5d79-abf7-855cbe241525;https://en.wikipedia.org/wiki/Ismail_Al-Zaabi
Vitor Hugo;Vitor Hugo Franchescoli de Souza;20.5.1991;31;Guaraci;Brazil;Centre back;Trabzonspor;;0;0;72987097-cd03-5c52-af97-a3201c7c5e74;https://en.wikipedia.org/wiki/Vitor_Hugo_(footballer%2C_born_1991)
;;;;;;;;;0;1;d5f8036a-1b13-54a8-83ea-0815f07c23cd;https://en.wikipedia.org/wiki/Carlos_Espinoza
Maurits Kjaergaard;Maurits Kjaergaard;26.6.2003;19;Herlev;Denmark;Midfielder;FC Red Bull Salzburg;Denmark U21;0;0;1f7a6c34-b02a-5011-a086-7c783208c7fd;https://en.wikipedia.org/wiki/Maurits_Kj%C3%A6rgaard
Vinícius Júnior;Vinícius José Paixão de Oliveira Júnior;12.7.2000;22;São Gonçalo;Brazil;Winger;Real Madrid CF;Brazil;0;0;793b9bfd-7d4c-5404-acea-993fbc758d2e;https://en.wikipedia.org/wiki/Vin%C3%ADcius_J%C3%BAnior
Dion Drena Beljo;;1.3.2002;23;Zagreb;Croatia;Forward;NK Osijek;Croatia U21;0;0;7ec3756e-9d24-552d-af21-2e12a2a350f3;https://en.wikipedia.org/wiki/Dion_Drena_Beljo
Junior Sornoza;Junior Nazareno Sornoza Moreira;28.1.1994;28;Portoviejo;Ecuador;Attacking midfielder;C.S.D. Independiente del Valle;Ecuador;0;0;eade2aaf-ba24-5505-89b2-c2c4fdc1a296;https://en.wikipedia.org/wiki/Junior_Sornoza
Emiliano Martínez;Damián Emiliano Martínez Romero;2.9.1992;30;Mar del Plata;Argentina;Goalkeeper;Aston Villa F.C.;Argentina;0;0;665d5bf0-985a-52e5-b306-8d65b3c89bae;https://en.wikipedia.org/wiki/Emiliano_Mart%C3%ADnez
Ben Brereton Díaz;Benjamin Anthony Brereton;18.4.1999;23;Stoke-on-Trent;England;Striker;Blackburn Rovers F.C.;Chile;0;0;977d19d0-33d4-53f9-a090-0b978750c6f8;https://en.wikipedia.org/wiki/Ben_Brereton_D%C3%ADaz
Ivan Kucherenko;Ivan Vasilyevych Kucherenko;1.6.1987;35;Ukrainian SSR;Soviet Union;Defender;FC Ukraine United;;0;0;6932905c-1892-5024-821f-3ecbf62e803a;https://en.wikipedia.org/wiki/Ivan_Kucherenko_(footballer)
Thiago Almada;Thiago Ezequiel Almada;26.4.2001;21;Ciudadela;Argentina;Attacking midfielder, winger;Atlanta United FC;Argentina;0;0;c2db3031-b2ed-5a54-bbab-40b3832b2a85;https://en.wikipedia.org/wiki/Thiago_Almada
Sulaiman Al-Shukaili;Sulaiman Said Saif Al-Shukaili;29.10.1984;37;;Oman;Defender;Muscat Club;Oman;0;0;b90cc4ea-f770-5799-bb00-8c3eb29e33c4;https://en.wikipedia.org/wiki/Sulaiman_Said_Al-Shukaili
Iheanacho;Kelechi Promise Iheanacho;3.10.1996;26;Owerri;Nigeria;Forward;Leicester City F.C.;Nigeria;0;0;403f1318-739e-5e62-8648-178b800a4ec6;https://en.wikipedia.org/wiki/Kelechi_Iheanacho
Raphinha;Raphael Dias Belloli;14.12.1996;25;Porto Alegre;Brazil;Winger;FC Barcelona;Brazil;0;0;c4d797f7-5ab4-5353-8638-8aadde3118b1;https://en.wikipedia.org/wiki/Raphinha
Nilufar Kudratova[1];Nilufar Gulmurod qizi Kudratova;5.6.1997;25;Qarshi;Uzbekistan;Forward;;Uzbekistan;0;0;c138bad8-0897-53b6-b7be-de34721e1b95;https://en.wikipedia.org/wiki/Nilufar_Kudratova
Caoimhín Kelleher;Caoimhín Odhrán Kelleher;23.11.1998;23;Cork;Ireland;Goalkeeper;Liverpool F.C.;Republic of Ireland;0;0;4472a1de-4a03-5a2e-8a3e-fb0fb4b83dc5;https://en.wikipedia.org/wiki/Caoimh%C3%ADn_Kelleher
Mohammad Javad Mohammadi;Mohammad Javad Mohammadi Marzroudi;20.7.1996;26;Tehran;Iran;Midfielder;Havadar S.C.;;0;0;8ab740c1-6dd6-58d5-a7b7-1350f70a62d1;https://en.wikipedia.org/wiki/Mohammad_Javad_Mohammadi
;;;;;;;;;0;1;36d88698-b3f1-564d-9c5f-591f036c30af;https://en.wikipedia.org/wiki/Carballo_(disambiguation)
Luo Zuqing 罗足庆;;27.4.1993;29;Meizhou;Guangdong;Goalkeeper/Striker;Shenzhen Pengcheng;;0;0;6e96855c-397d-52ea-90fc-998334ab6505;https://en.wikipedia.org/wiki/Luo_Zuqing
Kylian Mbappé;Kylian Mbappé Lottin;20.12.1998;25;Lyon;France;Forward;Paris Saint-Germain F.C.;France;0;0;5c1f237d-81ab-581d-a539-0cb350a2df4b;https://en.wikipedia.org/wiki/Kylian_Mbapp%C3%A9
Brandon Wakeham;Brandon Wakeham;11.1.1999;23;;;Halfback, Five-eighth, Hooker;;;0;0;d6df4a36-4170-588f-aa0b-4b40c1d732a5;https://en.wikipedia.org/wiki/Brandon_Wakeham
;;;;;;;;;0;1;6c8f0bcb-adbf-53f2-aa2b-3e2d33442033;https://en.wikipedia.org/wiki/Kuchta
Darryl Roberts;Darryl Roberts;26.9.1983;39;Saint Joseph;Trinidad and Tobago;Striker;Azkals Development Team;Trinidad and Tobago;0;0;143ac5bf-ef59-5cd8-b38b-eaefc489089c;https://en.wikipedia.org/wiki/Darryl_Roberts
Shunnosuke Matsuki;;24.10.1996;29;Kanagawa;Japan;Midfielder;Suzuka Point Getters;;0;0;ba12da87-1dcc-5075-9f9a-4014b96440e0;https://en.wikipedia.org/wiki/Shunnosuke_Matsuki
Jung Hoon;;31.8.1985;37;;South Korea;Defensive Midfielder / Centre Back;PTT Rayong F.C.;;0;0;b0243a91-572b-529c-9c4d-ff0b43b60b13;https://en.wikipedia.org/wiki/Jung_Hoon
Hirving Lozano;Hirving Rodrigo Lozano Bahena;30.8.1995;27;Mexico City;Argentina;Winger;S.S.C. Napoli;Mexico;0;0;b7b96801-808c-5409-bbf1-077b2e7cf398;https://en.wikipedia.org/wiki/Hirving_Lozano
Jackson Porozo;Jackson Gabriel Porozo Vernaza;4.8.2000;22;San Lorenzo;Ecuador;Centre-back;ES Troyes AC;Ecuador;0;0;a7ec9ee9-2cb3-5977-a03d-0ec0c165afcd;https://en.wikipedia.org/wiki/Jackson_Porozo
Erling Haaland;Erling Braut Haaland;21.7.2000;22;Leeds;England;Striker;Manchester City F.C.;Norway;0;0;32bb5313-e840-5d43-8aeb-38a667492aaa;https://en.wikipedia.org/wiki/Erling_Haaland
Ahmed Salem;Ahmed Mohamed Salem;;;;;;;Egypt;0;0;a59c5753-eead-526a-8a51-4f6a8e2c3ee1;https://en.wikipedia.org/wiki/Ahmed_Salem
Youcef Belaïli;Mohamed Youcef Belaïli;15.3.1992;30;Oran;Algeria;Left winger;Stade Brestois 29;Algeria;0;0;ad450153-76f2-5cf5-bb47-65043394d634;https://en.wikipedia.org/wiki/Youcef_Bela%C3%AFli
Ahmed Nabil Koka;;4.7.2001;21;;;Midfielder;Al Ahly SC;Egypt U23;0;0;b26f4810-7e9e-5987-b566-d5fb768c1c48;https://en.wikipedia.org/wiki/Ahmed_Nabil_Koka
Fabián Estoyanoff;Fabián Larry Estoyanoff Poggio;27.9.1982;40;Montevideo;Uruguay;Winger;Centro Atlético Fénix;Uruguay;0;0;12c5ce29-0789-5123-a300-7df9efedabad;https://en.wikipedia.org/wiki/Fabi%C3%A1n_Estoyanoff
Nora Heroum;;20.7.1994;28;Helsinki;Finland;Defender / Midfielder;Parma Calcio 2022;Finland;0;0;bff4b671-5fee-5ac7-b20b-2c6eedc6b03a;https://en.wikipedia.org/wiki/Nora_Heroum
Kyogo Furuhashi  古橋亨梧;;20.1.1995;27;Nara;Japan;Forward, winger;Celtic F.C;Japan;0;0;effa2665-0020-5855-8c3d-148fc9c9d96e;https://en.wikipedia.org/wiki/Kyogo_Furuhashi
Marcelo;Marcelo Vieira da Silva Júnior;12.5.1988;34;Rio de Janeiro;Brazil;Left-back;Brazil Olympic football team;Brazil;0;0;0b825746-5ee5-5630-9b4d-8e1ce09824f3;https://en.wikipedia.org/wiki/Marcelo_(footballer%2C_born_1988)
Felix Afena Ohene-Gyan;Felix Afena Ohene-Gyan;19.1.2003;19;Sunyani;Ghana;Forward;U.S. Cremonese;Ghana;0;0;589e0774-88d6-5930-a2ef-bb79d29b51af;https://en.wikipedia.org/wiki/Felix_Afena-Gyan
Eric Bailly;Eric Bertrand Bailly;12.4.1994;28;Bingerville;Ivory Coast;Centre-back;Manchester United F.C.;Ivory Coast;0;0;7b2ca3aa-bcac-5d4d-8dc9-46823916f2b5;https://en.wikipedia.org/wiki/Eric_Bailly
Pierre-Emerick Aubameyang;Pierre-Emerick Emiliano François Aubameyang;18.6.1989;33;Laval;France;Striker;Chelsea F.C.;Gabon;0;0;e198c36d-fcb8-5280-af1f-fac821edabe7;https://en.wikipedia.org/wiki/Pierre-Emerick_Aubameyang
Amer Gojak;Amer Gojak;13.2.1997;25;Sarajevo;Bosnia and Herzegovina;Attacking midfielder;Ferencvárosi TC;Bosnia and Herzegovina;0;0;d91b9628-5eb9-5378-9a52-66010b2e9edb;https://en.wikipedia.org/wiki/Amer_Gojak
Mohamed Salah;Mohamed Salah Hamed Mahrous Ghaly;15.6.1993;27;Nagrig;Basyoun;Midfielder;Chelsea F.C.;Egypt;0;0;335b6a73-11c9-50d5-a84c-845141e48329;https://en.wikipedia.org/wiki/Mohamed_Salah
Dmitri Barinov;Dmitri Nikolayevich Barinov;11.9.1996;26;Ogudnevo;Moscow Oblast;Defensive midfielder;FC Lokomotiv Moscow;Russia;0;0;d076cb05-b5d2-56b0-8fab-97b02cc2d6da;https://en.wikipedia.org/wiki/Dmitri_Barinov
Lino Sousa;Lino da Cruz Sousa;19.1.2005;17;Lisbon;Portugal;Defender;Arsenal F.C.;England U17;0;0;ec373727-271b-52fe-901d-1a29062338e8;https://en.wikipedia.org/wiki/Lino_Sousa
August Erlingmark;Jan August Erlingmark;22.4.1998;24;Gothenburg;Sweden;Midfielder;Atromitos F.C.;Sweden;0;0;bacfd582-8af2-5611-9d33-f0a833009cbd;https://en.wikipedia.org/wiki/August_Erlingmark
;;;;;;;;;0;1;aff24a8d-61be-590f-aba3-6d1a14462ffb;https://en.wikipedia.org/wiki/Pedro_Silva
Masaaki Higashiguchi  東口 順昭;;12.5.1986;36;Takatsuki;Osaka;Goalkeeper;Gamba Osaka;Japan;0;0;322e7892-7511-566c-8b81-bc83fad2b5dd;https://en.wikipedia.org/wiki/Masaaki_Higashiguchi
Danilo;Danilo Pereira da Silva;7.4.1999;23;São Paulo;Brazil;Striker;Feyenoord;Brazil U23;0;0;e9da48d5-5778-580f-9d72-aa1db6b6df80;https://en.wikipedia.org/wiki/Danilo_(footballer%2C_born_1999)
Kenta Nishizawa;Kenta Nishizawa;6.9.1996;26;Shizuoka;Japan;Winger;Shimizu S-Pulse;;0;0;b4f1bf68-9eec-5111-8b94-e31c8aba832d;https://en.wikipedia.org/wiki/Kenta_Nishizawa
Renji Matsui;;27.2.2000;22;Iwaki;Fukushima;Defensive midfielder;Kawasaki Frontale;Japan U23;0;0;75a4143a-fe2d-5793-95e6-de0304e98a57;https://en.wikipedia.org/wiki/Renji_Matsui
Mario Perrone;;6.2.2003;19;;;Defender;U.S. Salernitana 1919;;0;0;29c65576-44d1-56af-b8a4-7f2144c693eb;https://en.wikipedia.org/wiki/Mario_Perrone
;;;;;;;;;0;1;2ddf5057-9962-54a8-ae29-fe0b765ce618;https://en.wikipedia.org/wiki/Category:Omani_footballers
Vasilios Xenopoulos;Vasilios Xenopoulos;20.5.1998;24;Athens;Greece;Goalkeeper;Panathinaikos B;Greece U21;0;0;051399b7-014e-5e4a-98aa-405402b7ea39;https://en.wikipedia.org/wiki/Vasilios_Xenopoulos
Leo Suárez;Leonardo Gabriel Suárez;30.3.1996;26;San Martín;Argentina;Winger;Club América;Argentina U20;0;0;811e4e41-1c9a-5e69-98f2-442c307a8cc3;https://en.wikipedia.org/wiki/Leonardo_Su%C3%A1rez
Endrick;Endrick Felipe Moreira de Sousa;21.7.2006;16;Brasília;Brazil;Striker;Sociedade Esportiva Palmeiras;Brazil U16;0;0;cb0cad0d-53a9-58cd-a347-612bbb4ab9ad;https://en.wikipedia.org/wiki/Endrick_Felipe
Abdulaziz Al Ansari;Abdulaziz Rashid Al Ansari;19.2.1992;30;;Qatar;Striker  Second striker;Al-Arabi SC (Qatar);Qatar;0;0;b1679a78-ee74-5b79-8438-4e193733cf81;https://en.wikipedia.org/wiki/Abdulaziz_Al-Ansari
Abdul Mumin[1];Khalid Abdul Mumin Suleman;6.6.1998;24;Accra;Ghana;Centre-back;Rayo Vallecano;;0;0;543238bb-faee-5811-a8b5-c75fea7a0929;https://en.wikipedia.org/wiki/Abdul_Mumin
Mohammed Al-Thaniمحمد الثاني;Mohammed Fuad Al-Thani;22.1.1997;25;;Saudi Arabia;Winger;Ohod Club;;0;0;7f30f726-7496-5e1a-a8af-04d81cb4be4f;https://en.wikipedia.org/wiki/Mohammed_Al-Thani
Maurício;Maurício Magalhães Prado;22.6.2001;21;São Paulo;Brazil;Attacking midfielder;Sport Club Internacional;;0;0;232db30b-a0ec-58cf-93d7-e2042f85fa8c;https://en.wikipedia.org/wiki/Maur%C3%ADcio_(footballer%2C_born_2001)
César Azpilicueta;César Azpilicueta Tanco;28.8.1989;33;Zizur Mayor;Spain;Right-back, centre-back;Chelsea F.C.;Spain;0;0;468e3e70-43db-5d3e-9bd0-98d3183c250a;https://en.wikipedia.org/wiki/C%C3%A9sar_Azpilicueta
;;;;;;;;;0;1;96c9686b-7e54-5cf9-be1c-e52d496af409;https://en.wikipedia.org/wiki/Lisandro_L%C3%B3pez
Adama Traoré;Adama Traoré Diarra;25.1.1996;26;L'Hospitalet de Llobregat;Catalonia;Winger;Wolverhampton Wanderers F.C.;Spain;0;0;4aa8f71e-3856-5daa-a95c-c05790b2b629;https://en.wikipedia.org/wiki/Adama_Traor%C3%A9_(footballer%2C_born_1996)
Luka Menalo;;22.7.1996;26;Split;Croatia;Winger;GNK Dinamo Zagreb Academy;Bosnia and Herzegovina;0;0;588b0948-7006-5b06-8882-f814b31d000e;https://en.wikipedia.org/wiki/Luka_Menalo
;;;;;;;;;0;1;b22d6096-59fb-5170-8bff-f8e342fafdf5;https://en.wikipedia.org/wiki/40-yard_dash
Antonio Pedroza;Antonio Michael Pedroza Whitham;20.2.1991;31;Chester;Cheshire;Forward;Chapulineros de Oaxaca;;0;0;5c1a06db-92c3-5f70-8ebb-6d163ca47eae;https://en.wikipedia.org/wiki/Antonio_Pedroza
Kylian Mbappé;Kylian Mbappé Lottin;20.12.1998;23;Paris;France;Forward;Paris Saint-Germain F.C.;France;0;0;9a1651bf-1ece-5ad5-8b01-e1918aebc015;https://en.wikipedia.org/wiki/Kylian_Mbapp%C3%A9
Guilherme Arana;Guilherme Antonio Arana Lopes;14.4.1997;25;São Paulo;Brazil;Left back;Clube Atlético Mineiro;Brazil;0;0;c25edd4f-9534-5bbb-bc78-802f1dd29af3;https://en.wikipedia.org/wiki/Guilherme_Arana
Anthony Koura;;6.5.1993;29;Le Mans;France;Striker;FC Lausanne-Sport;Burkina Faso;0;0;f852ac21-3c3c-5221-ae0d-07d2d34d8ee1;https://en.wikipedia.org/wiki/Anthony_Koura
Amin Nazari;Amin Adam Lazarte Nazari;26.4.1993;29;Malmö;Sweden;Midfielder;PT Prachuap F.C.;Philippines;0;0;333cf82f-0400-586e-8eab-9b646039a6ed;https://en.wikipedia.org/wiki/Amin_Nazari
Saad al-Sheeb;Saad Abdullah Al Sheeb;19.2.1990;32;Doha;Qatar;Goalkeeper;Al-Sadd Sports Club;Qatar;0;0;e796b6b1-8d7b-57aa-9041-ac90c4905555;https://en.wikipedia.org/wiki/Saad_Al_Sheeb
Victor Igbonefo;Victor Chukwuekezie Igbonefo;10.10.1985;37;Enugu;Nigeria;Centre-back;Persib Bandung;Indonesia;0;0;585e9317-355f-5d39-b52d-cbff13469121;https://en.wikipedia.org/wiki/Victor_Igbonefo
Tymoteusz Puchacz;Tymoteusz Puchacz;23.1.1999;23;Sulechów;Poland;Left-back;1. FC Union Berlin;Poland;0;0;035f9a15-0941-510f-a5d5-a9cb092d0bff;https://en.wikipedia.org/wiki/Tymoteusz_Puchacz
Aleksandar Katai;;6.2.1991;31;Srbobran;SR Serbia;Winger;Red Star Belgrade;Serbia;0;0;7822697f-a6b3-50be-b222-f6986eac8d1c;https://en.wikipedia.org/wiki/Aleksandar_Katai
Anthony Elanga;Anthony David Junior Elanga;27.4.2002;20;Malmö;Sweden;Winger;Manchester United F.C.;Sweden;0;0;cfedb241-8a0f-56c0-b275-b82802794d24;https://en.wikipedia.org/wiki/Anthony_Elanga
Lee Suk-jae;;8.7.2003;19;Seoul;South Korea;Midfielder;Havant & Waterlooville F.C.;;0;0;234ac032-48b9-572b-a231-01ff2cbd25e2;https://en.wikipedia.org/wiki/Lee_Suk-jae
Hussein Mohamed;Hussein Abdikarim Mohamed;20.3.1997;25;Mogadishu;Somalia;Winger;FC Haka;Somalia;0;0;847902b6-cfde-5305-9571-076dea10b15c;https://en.wikipedia.org/wiki/Hussein_Mohamed_(footballer)
Andrey Yeshchenko;Andrey Olegovich Yeshchenko;9.2.1984;38;Irkutsk;Soviet Union;Right-back;FC Znamya Noginsk;Russia;0;0;0ac57ad5-bfed-5c47-8981-5468e5da0d33;https://en.wikipedia.org/wiki/Andrey_Yeshchenko
Anthony Nwakaeme;Anthony Nnaduzor Nwakaeme;21.3.1989;33;Lagos;Nigeria;Left winger;Al-Fayha FC;Nigeria;0;0;ef9206a6-34a6-511d-a153-40c789c7295c;https://en.wikipedia.org/wiki/Anthony_Nwakaeme
Ferran Torres;Ferran Torres García;29.2.2000;22;Foios;Spain;Forward;FC Barcelona;Spain;0;0;1f97b1d1-3a03-567c-b6a5-a9573c1fbb3b;https://en.wikipedia.org/wiki/Ferran_Torres
;;;;;;;;;1;0;61349f80-bac7-5290-ab5e-310b460453aa;https://en.wikipedia.org/wiki/J%C3%A1nos_Farkas
Gavi;Pablo Martín Páez Gavira;5.8.2004;18;Los Palacios y Villafranca;Spain;Central midfielder;FC Barcelona;Spain;0;0;39b36b7b-1e21-5d8b-8d42-249de3083144;https://en.wikipedia.org/wiki/Gavi_(footballer)
Jean;Jean Paulo Fernandes Filho;26.10.1995;26;Salvador;Brazil;Goalkeeper;Cerro Porteño;Brazil U20;0;0;6c007905-5cfc-5de4-a6ac-d1ddcdec0e41;https://en.wikipedia.org/wiki/Jean_Paulo_Fernandes_Filho
İlhan Parlak;İlhan Parlak;19.1.1987;35;Yahyalı;Turkey;Forward;Kayserispor;Turkey U21;0;0;e4817451-13e6-53e1-8576-087b8239d93d;https://en.wikipedia.org/wiki/%C4%B0lhan_Parlak
Zlatan Ibrahimović;Zlatan Ibrahimović;3.10.1981;41;Malmö;Sweden;Striker;A.C. Milan;Sweden;0;0;9062685d-2bcf-53d7-82af-c69e1bbcc9ba;https://en.wikipedia.org/wiki/Zlatan_Ibrahimovi%C4%87
Piero Hincapié;Piero Martín Hincapié Reyna;9.1.2002;20;Esmeraldas;Ecuador;Centre-back;Bayer 04 Leverkusen;Ecuador;0;0;039abcea-cecc-5ed0-bf49-77b1262a2ff5;https://en.wikipedia.org/wiki/Piero_Hincapi%C3%A9
Ivan Perišić;Ivan Perišić;2.2.1989;33;Split;SR Croatia;Winger;Tottenham Hotspur F.C.;Croatia;0;0;cf1ea3a9-fb26-544e-a1df-9670d47eb41b;https://en.wikipedia.org/wiki/Ivan_Peri%C5%A1i%C4%87
